CI Name,Criticality ,SOX Critical,App Type,Function Details,Application,Usage,Hosting and Delivery Model,Architecture,Application Package,Brand,Primary Location,Primary Location Presence,CI Collection,Service,User BU,BU Count,CAO,FIN,GOV,GSMB,HR,IT,MLP,MRKTG,OEFC,R&D,SALES,SVCS,Shared across multiple BUs,Past 12 month Tickets Total,User Interactions,System Incidents,Changes,Interfaces,Servers,Databases,Version
A2K Reporting,Bronze,No,SERVICES,Report Tool for IS3 apps,A2KREPT-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,COPPELL,COPPELL (100%),A2KREPT,A2KREPT-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,1,0,0,1,2,1,0
ACCPAC-APAC-FINANCIAL - Statutory - Accounting Pac..,Bronze,No,FINANCE,Statutory - Accounting Package for APAC,ACCPAC-FINANCIAL-APAC-PROD,Enterprise Resource Planning,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Afon,APAC DC1,APAC DC1 (100%),ACCPAC-FINANCIAL-APAC,ACCPAC-SERVICE,FIN;#OEFC,2,0,1,0,0,0,0,0,0,1,0,0,0,Shared Apps,0,0,0,0,0,1,1,6
ADP US Payroll,Silver,No,FINANCE,Net Payroll/check/w2 processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Product Collaboration 9.3,Silver,No,SUPPLY CHAIN,Management and collaboration of product,AGILE93-PROD,Product Development,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Oracle,,,AGILE93,AGILE93-SERVICE,R&D,1,0,0,0,0,0,0,0,0,0,1,0,0,Dedicated Apps,28,8,0,20,2,16,2,9
ALDARS,Silver,No,APPLICATION SHARED SERVICES,Contains Archived Data from Legacy Decom,ALDARS-PROD,Document/File repository,Internal/Insourced,3-Tier (Web/App/DB Svrs),Hybrid,Plasmon,US1,US1 (100%),ALDARS,ALDARS-SERVICE,SALES;#SVCS,2,0,0,0,0,0,0,0,0,0,0,1,1,Shared Apps,0,0,0,0,1,1,0,0
ANGSTROM,Silver,No,APPLICATION SHARED SERVICES,IT,ANGSTROM-PROD,Middleware,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Hybrid,Angstrom,US1,US1 (100%),ANGSTROM,ANGSTROM-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,7,1,1
Ariba Production,Silver,No,SUPPLY CHAIN,Requisition Tool,ARIBA-PROD,Procurement,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Ariba,US1,US1 (100%),ARIBA,ARIBA-SERVICE,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,19,15,1,3,6,6,1,8
Avaya Common Gateway,Silver,No,APPLICATION SHARED SERVICES, mw code for new/ex apps,ACGPRODUCTION-PROD,Middleware,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Oracle,,,ACGPRODUCTION,ACGPRODUCTION-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,1,1,0,0,0,2,0,#N/A
Avaya Data Warehouse,Gold,No,APPLICATION SHARED SERVICES,Data warehouse,AVAYA-DATA-WAREHOUSE-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Hybrid,Microsoft,US1,US1 (100%),AVAYA-DATA-WAREHOUSE,AVAYA-DATA-WAREHOUSE-SERVICE,FIN;#MLP;#OEFC;#SALES;#SVCS,5,0,1,0,0,0,0,1,0,1,0,1,1,Shared Apps,5,2,0,3,1,7,1,2012.2
Avaya Intelligence and Analytics,Bronze,No,FINANCE,Avaya Intelligence and Analytics,AVA-INTELLIGENCE-ANALYTICS-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,,,AVA-INTELLIGENCE-ANALYTICS,AVA-INTELLIGENCE-ANALYTICS-SERVICE,MRKTG;#IT;#OEFC;#CAO;#SALES;#SVCS,6,1,0,0,0,0,1,0,1,1,0,1,1,Shared Apps,54,19,0,35,2,8,0,#N/A
